,,,Basic Facts,,,,,Vitamins,,,,,,,,,,,,,,,,Healthy Fats,,,,,,Minerals,,,,,,,,,,,Phytonutrients,,,,,,AA and Peps,
Item,Category,Serving Size,Cals,Protein,Fats,Carbs,Fiber,Vit A,Vit B1,Vit B2,Vit B3,Vit B5,Vit B6,Vit B7,Vit B9,Vit B12,Vit C,Vit D,Vit E,Vit K,Choline,Myo-Inositol,CoQ10,MUFA,ALA,EPA+DHA,CLA,Lin Acid,MCTs,Ca,Cu,Io,Fe,Mg,Mn,P,K,Se,Na,Zn,Carotenoids,Polyphenols,Phytosterols,Glucosinolates,Thiosulfinates,Betalains,Taurine,Ergothionine
"Black beans, raw",Legume,1/5 cup raw or 1/2 cup cooked,133,8.4,0.6,18.3,6,0%,29%,6%,5%,7%,7%,13%,43%,0%,0%,0%,1%,2%,5%,0.0 mg,0.0 mg,0.0 g,108.4 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,36%,0%,11%,16%,18%,11%,12%,2%,0%,13%,0.0 μg,2214.0 mg,80.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.5 mg
"Mango, raw",Fruit,1 cup or 1/2 fruit (165 grams),99,1.4,0.6,40.8,2.6,10%,4%,5%,7%,7%,12%,10%,18%,0%,67%,0%,11%,6%,2%,163.4 mg,0.0 mg,0.2 g,84.2 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,1%,20%,0%,1%,4%,5%,2%,6%,2%,0%,1%,4631.2 μg,438.9 mg,40.3 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Mussels, raw",Fish,4 ounces (115 grams),99,13.7,2.6,4.2,0,6%,15%,19%,12%,12%,3%,87%,12%,575%,10%,0%,4%,0%,14%,0.0 mg,1.1 mg,0.6 g,23.0 mg,507.2 mg,1.0 mg,0.0 g,0.0 g,2%,12%,80%,25%,9%,170%,18%,8%,94%,14%,17%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,753.7 mg,0.0 mg
"Okra, raw",Vegetable,1 cup (100 grams),33,1.9,0.2,4.3,3.2,4%,17%,5%,6%,5%,13%,20%,15%,0%,26%,0%,3%,26%,2%,33.0 mg,0.0 mg,0.0 g,1.0 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,6%,12%,0%,3%,14%,34%,5%,6%,1%,0%,5%,723.0 μg,234.5 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Parsnip, raw",Vegetable,"1 cup, sliced (133 grams)",100,1.6,0.4,17.4,6.5,0%,10%,5%,6%,16%,7%,0%,22%,0%,25%,0%,13%,25%,7%,0.0 mg,0.0 mg,0.1 g,4.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,18%,0%,4%,9%,32%,8%,11%,4%,1%,7%,0.0 μg,830.6 mg,35.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Kidney beans, red, raw",Legume,1/5 cup raw or 1/2 cup cooked,125,8.3,0.4,17.1,5.6,0%,19%,6%,5%,6%,9%,12%,36%,0%,2%,0%,1%,2%,4%,92.1 mg,0.0 mg,0.0 g,132.5 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,2%,29%,0%,14%,12%,18%,12%,11%,2%,0%,9%,0.0 μg,1985.3 mg,49.6 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.2 mg
"Sunflower seed kernels, dried",Seed,1 ounce (28 grams),164,5.8,14.4,3.2,2.4,0%,35%,8%,15%,6%,22%,75%,16%,0%,0%,0%,69%,0%,3%,3.4 mg,0.0 mg,5.2 g,16.8 mg,3.9 mg,0.0 mg,6.5 g,0.0 g,2%,56%,0%,8%,22%,24%,15%,4%,27%,0%,13%,8.4 μg,354.4 mg,90.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Butternut squash, raw",Fruit,"1 cup, cubes (140 grams)",63,1.4,0.1,13.6,2.8,83%,12%,2%,11%,11%,13%,8%,9%,0%,33%,0%,13%,1%,0%,92.4 mg,0.0 mg,0.0 g,36.4 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,5%,11%,0%,5%,11%,12%,4%,10%,1%,0%,2%,11943.4 μg,71.0 mg,10.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Mustard greens, raw",Vegetable,"2 cups, chopped (112 grams)",30,3.2,0.5,1.6,3.6,19%,7%,9%,6%,5%,12%,0%,3%,0%,87%,0%,15%,240%,0%,25.8 mg,0.0 mg,0.1 g,20.2 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,10%,21%,0%,10%,9%,22%,5%,9%,2%,1%,3%,6238.4 μg,412.9 mg,0.0 mg,609.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Watermelon, raw",Fruit,"1 cup, diced (152 grams)",46,0.9,0.2,10.9,0.6,5%,4%,2%,2%,7%,4%,18%,1%,0%,14%,0%,1%,0%,1%,47.1 mg,0.0 mg,0.1 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,7%,0%,2%,4%,3%,1%,4%,1%,0%,1%,7479.9 μg,89.7 mg,2.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Apricot, raw",Fruit,"1 cup, halves (about 4) (155 grams)",74,2.2,0.6,14.1,3.1,17%,4%,5%,6%,7%,5%,3%,3%,0%,17%,0%,9%,4%,1%,0.0 mg,0.0 mg,0.3 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,2%,13%,0%,3%,4%,5%,3%,9%,0%,0%,3%,2024.3 μg,230.1 mg,24.6 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
